Date,Close,High,Low,Open,Volume,Year_Scraped
,CL=F,CL=F,CL=F,CL=F,CL=F,
2022-01-03,76.08000183105469,76.45999908447266,74.2699966430664,75.69000244140625,317628,2565
2022-01-04,76.98999786376953,77.63999938964844,75.69999694824219,76.0199966430664,372848,2565
2022-01-05,77.8499984741211,78.58000183105469,76.51000213623047,77.18000030517578,397898,2565
2022-01-06,79.45999908447266,80.23999786376953,76.7300033569336,77.23999786376953,476665,2565
2022-01-07,78.9000015258789,80.47000122070312,78.5199966430664,79.62000274658203,414434,2565
2022-01-10,78.2300033569336,79.44999694824219,77.83000183105469,78.87999725341797,389956,2565
2022-01-11,81.22000122070312,81.58999633789062,78.36000061035156,78.41999816894531,481815,2565
2022-01-12,82.63999938964844,83.0999984741211,81.16999816894531,81.37999725341797,420619,2565
2022-01-13,82.12000274658203,82.94000244140625,81.38999938964844,82.81999969482422,364769,2565
2022-01-14,83.81999969482422,84.44999694824219,81.58000183105469,81.7300033569336,364442,2565
2022-01-18,85.43000030517578,86.62999725341797,83.5,84.31999969482422,163643,2565
2022-01-19,86.95999908447266,87.91000366210938,85.7699966430664,86.61000061035156,113153,2565
2022-01-20,86.9000015258789,87.81999969482422,86.0,86.2300033569336,532202,2565
2022-01-21,85.13999938964844,85.55999755859375,82.77999877929688,84.56999969482422,509103,2565
2022-01-24,83.30999755859375,86.08999633789062,81.9000015258789,84.91000366210938,511695,2565
2022-01-25,85.5999984741211,85.70999908447266,82.98999786376953,84.1500015258789,507219,2565
2022-01-26,87.3499984741211,87.94999694824219,85.01000213623047,85.26000213623047,459642,2565
2022-01-27,86.61000061035156,88.54000091552734,86.19999694824219,87.1500015258789,427804,2565
2022-01-28,86.81999969482422,88.83999633789062,86.44000244140625,87.5,436172,2565
2022-01-31,88.1500015258789,88.38999938964844,86.33999633789062,87.44999694824219,359080,2565
2022-02-01,88.19999694824219,88.87000274658203,86.55000305175781,88.1500015258789,376841,2565
2022-02-02,88.26000213623047,89.72000122070312,87.0999984741211,88.3499984741211,456863,2565
2022-02-03,90.2699966430664,90.44999694824219,86.75,87.9800033569336,465771,2565
2022-02-04,92.30999755859375,93.16999816894531,90.06999969482422,90.19000244140625,410926,2565
2022-02-07,91.31999969482422,92.7300033569336,90.7300033569336,91.81999969482422,497754,2565
2022-02-08,89.36000061035156,91.68000030517578,88.51000213623047,91.63999938964844,467386,2565
2022-02-09,89.66000366210938,90.58000183105469,88.41000366210938,89.86000061035156,445618,2565
2022-02-10,89.87999725341797,91.73999786376953,89.02999877929688,90.01000213623047,492091,2565
2022-02-11,93.0999984741211,94.66000366210938,89.19000244140625,90.0,554423,2565
2022-02-14,95.45999908447266,95.81999969482422,92.08999633789062,93.91000366210938,467071,2565
2022-02-15,92.06999969482422,95.16999816894531,90.66000366210938,94.83000183105469,442641,2565
2022-02-16,93.66000366210938,95.01000213623047,90.0,92.20999908447266,401453,2565
2022-02-17,91.76000213623047,93.36000061035156,90.62000274658203,90.9000015258789,212552,2565
2022-02-18,91.06999969482422,92.66000366210938,89.02999877929688,91.62999725341797,150382,2565
2022-02-22,92.3499984741211,96.0,90.3499984741211,91.75,789041,2565
2022-02-23,92.0999984741211,93.9000015258789,90.63999938964844,91.73999786376953,440574,2565
2022-02-24,92.80999755859375,100.54000091552734,91.44999694824219,92.5199966430664,872244,2565
2022-02-25,91.58999633789062,95.63999938964844,90.05999755859375,93.31999969482422,523793,2565
2022-02-28,95.72000122070312,99.0999984741211,94.43000030517578,94.98999786376953,490796,2565
2022-03-01,103.41000366210938,106.77999877929688,95.31999969482422,96.08999633789062,698814,2565
2022-03-02,110.5999984741211,112.51000213623047,105.18000030517578,107.12000274658203,651853,2565
2022-03-03,107.66999816894531,116.56999969482422,106.43000030517578,111.33000183105469,592031,2565
2022-03-04,115.68000030517578,116.0199966430664,107.25,107.95999908447266,493875,2565
2022-03-07,119.4000015258789,130.5,115.54000091552734,121.33000183105469,576022,2565
2022-03-08,123.69999694824219,129.44000244140625,117.06999969482422,120.66999816894531,583106,2565
2022-03-09,108.69999694824219,126.83999633789062,103.62999725341797,124.66000366210938,594773,2565
2022-03-10,106.0199966430664,114.87999725341797,105.52999877929688,110.41000366210938,437924,2565
2022-03-11,109.33000183105469,110.29000091552734,104.4800033569336,105.98999786376953,368194,2565
2022-03-14,103.01000213623047,109.72000122070312,99.76000213623047,109.41999816894531,344184,2565
2022-03-15,96.44000244140625,102.58000183105469,93.52999877929688,102.27999877929688,401690,2565
2022-03-16,95.04000091552734,99.22000122070312,94.06999969482422,95.2300033569336,293947,2565
2022-03-17,102.9800033569336,104.23999786376953,94.8499984741211,95.33999633789062,210763,2565
2022-03-18,104.69999694824219,106.27999877929688,102.30000305175781,103.62000274658203,74247,2565
2022-03-21,112.12000274658203,112.69000244140625,104.08000183105469,105.12999725341797,77217,2565
2022-03-22,111.76000213623047,115.01000213623047,109.30000305175781,112.9000015258789,318629,2565
2022-03-23,114.93000030517578,115.4000015258789,108.37999725341797,108.8499984741211,289182,2565
2022-03-24,112.33999633789062,116.63999938964844,110.61000061035156,114.47000122070312,307238,2565
2022-03-25,113.9000015258789,114.12000274658203,108.68000030517578,111.75,320304,2565
2022-03-28,105.95999908447266,112.93000030517578,102.83000183105469,112.91999816894531,372251,2565
2022-03-29,104.23999786376953,107.83999633789062,98.44000244140625,103.47000122070312,387200,2565
2022-03-30,107.81999969482422,108.75,104.55000305175781,105.23999786376953,284544,2565
2022-03-31,100.27999877929688,107.80000305175781,99.66000366210938,107.44999694824219,450845,2565
2022-04-01,99.2699966430664,101.75,97.77999877929688,101.2300033569336,324777,2565
2022-04-04,103.27999877929688,103.94000244140625,98.05000305175781,98.94999694824219,288131,2565
2022-04-05,101.95999908447266,105.58999633789062,99.87999725341797,103.66000366210938,280283,2565
2022-04-06,96.2300033569336,104.0199966430664,95.7300033569336,101.23999786376953,366036,2565
2022-04-07,96.02999877929688,98.81999969482422,93.80999755859375,97.16000366210938,367318,2565
2022-04-08,98.26000213623047,98.76000213623047,95.29000091552734,97.16999816894531,310082,2565
2022-04-11,94.29000091552734,98.5199966430664,92.93000030517578,98.4000015258789,315873,2565
2022-04-12,100.5999984741211,101.3499984741211,94.83999633789062,95.16999816894531,329037,2565
2022-04-13,104.25,104.47000122070312,99.87000274658203,100.91000366210938,312502,2565
2022-04-14,106.94999694824219,107.63999938964844,102.12000274658203,104.19999694824219,244952,2565
2022-04-18,108.20999908447266,109.80999755859375,106.0,107.02999877929688,68489,2565
2022-04-19,102.55999755859375,108.91999816894531,102.0999984741211,107.75,71792,2565
2022-04-20,102.75,104.16000366210938,100.69999694824219,103.05000305175781,299028,2565
2022-04-21,103.79000091552734,105.41999816894531,102.01000213623047,102.5,280321,2565
2022-04-22,102.06999969482422,104.22000122070312,101.05999755859375,104.06999969482422,246116,2565
2022-04-25,98.54000091552734,101.55000305175781,95.27999877929688,101.37999725341797,328153,2565
2022-04-26,101.69999694824219,102.77999877929688,97.05999755859375,98.63999938964844,351850,2565
2022-04-27,102.0199966430664,102.98999786376953,99.80000305175781,101.76000213623047,278781,2565
2022-04-28,105.36000061035156,105.68000030517578,100.12999725341797,102.11000061035156,312064,2565
2022-04-29,104.69000244140625,107.98999786376953,103.77999877929688,105.16999816894531,294386,2565
2022-05-02,105.16999816894531,105.94000244140625,100.27999877929688,104.0,261878,2565
2022-05-03,102.41000366210938,105.80000305175781,102.0999984741211,105.08000183105469,239266,2565
2022-05-04,107.80999755859375,108.61000061035156,102.94999694824219,103.5,272909,2565
2022-05-05,108.26000213623047,111.37000274658203,106.44999694824219,107.58000183105469,286916,2565
2022-05-06,109.7699966430664,111.18000030517578,107.23999786376953,108.69999694824219,294278,2565
2022-05-09,103.08999633789062,110.48999786376953,102.12999725341797,110.43000030517578,368183,2565
2022-05-10,99.76000213623047,104.16000366210938,98.86000061035156,102.6500015258789,389750,2565
2022-05-11,105.70999908447266,106.44000244140625,98.19999694824219,99.0,382701,2565
2022-05-12,106.12999725341797,107.37000274658203,102.66000366210938,105.62999725341797,323547,2565
2022-05-13,110.48999786376953,110.63999938964844,106.29000091552734,106.6500015258789,240989,2565
2022-05-16,114.19999694824219,114.9000015258789,108.11000061035156,110.9800033569336,289127,2565
2022-05-17,112.4000015258789,115.55999755859375,111.75,113.87000274658203,252630,2565
